Zeit	spH	spO2	NStirrer	sTR	sCO2	sO2	FAirIn	sVR	Zeit_FG	FGlucose	Zeit_FN	Fstickstoff
03:32:01.018000	7.1	10.3	500.0	21.3	1.9	9.1	9.0	5.1	2024-10-1308:41:02	2.0	2024-10-1308:41:02	1.0
03:34:01.027000	7.1	10.3	500.0	21.4	1.9	9.1	9.0	5.1	2024-10-1308:41:07	2.0	2024-10-1308:41:07	1.0
03:36:01.037000	7.1	10.3	500.0	21.4	1.9	9.1	9.0	5.1	2024-10-1308:41:12	2.0	2024-10-1308:41:12	1.0
03:38:01.046000	7.1	10.3	500.0	21.5	1.9	9.1	9.0	5.1	2024-10-1308:41:17	2.0	2024-10-1308:41:17	1.0
03:40:01.056000	7.1	10.3	500.0	21.6	1.9	9.1	9.0	5.1	2024-10-1308:41:22	2.0	2024-10-1308:41:22	1.0
03:42:01.066000	7.1	10.3	500.0	21.6	1.9	9.1	9.0	5.1	2024-10-1308:41:27	2.0	2024-10-1308:41:27	1.0
03:44:01.075000	7.1	10.3	500.0	21.7	1.9	9.1	9.0	5.1	2024-10-1308:41:32	2.0	2024-10-1308:41:32	1.0
03:46:01.085000	7.1	10.3	500.0	21.7	1.9	9.1	9.0	5.1	2024-10-1308:41:37	2.0	2024-10-1308:41:37	1.0
03:48:01.094000	7.1	10.3	500.0	21.8	1.9	9.1	9.0	5.1	2024-10-1308:41:42	2.0	2024-10-1308:41:42	1.0
03:50:01.104000	7.1	10.3	500.0	21.8	1.9	9.1	9.0	5.1	2024-10-1308:41:47	2.0	2024-10-1308:41:47	1.0
03:52:01.114000	7.1	10.3	500.0	21.9	1.9	9.1	9.0	5.1	2024-10-1308:41:52	2.0	2024-10-1308:41:52	1.0
03:54:01.123000	7.1	10.3	500.0	21.9	1.9	9.1	9.0	5.1	2024-10-1308:41:57	2.0	2024-10-1308:41:57	1.0
03:56:01.133000	7.1	10.3	500.0	22.0	1.9	9.1	9.0	5.1	2024-10-1308:42:02	2.0	2024-10-1308:42:02	1.0
03:58:01.142000	7.1	10.3	500.0	22.0	1.9	9.1	9.0	5.1	2024-10-1308:42:07	2.0	2024-10-1308:42:07	1.0
04:00:01.152000	7.1	10.3	500.0	22.1	1.9	9.1	9.0	5.1	2024-10-1308:42:12	2.0	2024-10-1308:42:12	1.0
